epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8,2.47122,5.59776,1.73033,0.00016,0.00392,9e-05,4e-05,2.38993,5.38153,1.54868,4.998e-05,4.998e-05,4.998e-05
2,39.4534,2.33219,5.3864,1.48679,0.00036,0.03977,0.00026,0.0001,2.45922,5.3379,1.48693,9.64971e-05,9.64971e-05,9.64971e-05
3,59.0423,2.21709,5.12133,1.37993,0.00046,0.05412,0.00073,0.00015,2.46869,5.27125,1.44013,0.000131704,0.000131704,0.000131704
4,78.5249,2.22578,4.9646,1.36127,0.00068,0.09271,0.00064,0.00026,2.44274,5.20143,1.42817,0.000155602,0.000155602,0.000155602
5,97.797,2.15386,4.65406,1.31428,0.00069,0.125,0.00059,0.00017,2.48624,5.16791,1.45761,0.00016819,0.00016819,0.00016819
6,117.212,2.14344,4.53447,1.29474,0.00068,0.15709,0.00074,0.00022,2.42826,5.10797,1.42393,0.000169468,0.000169468,0.000169468
7,136.392,2.07467,4.24553,1.27162,0.00072,0.19669,0.00107,0.00027,2.40798,5.00075,1.4325,0.000159436,0.000159436,0.000159436
8,156.128,2.05274,4.09219,1.27787,0.00101,0.32361,0.00379,0.00137,2.38466,4.9149,1.42939,0.000138095,0.000138095,0.000138095
9,175.597,2.13344,3.94058,1.30498,0.00241,0.36853,0.00852,0.00307,2.38821,4.7403,1.42102,0.000105444,0.000105444,0.000105444
10,194.739,2.10912,3.95348,1.2585,0.00316,0.42685,0.01372,0.00545,2.37993,4.65636,1.40608,6.14825e-05,6.14825e-05,6.14825e-05
